Year,Player,Selection Type,,,,,,,,,,,,,,,,,,,,,,
2016,Stephen Curry,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,James Harden,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Kevin Durant,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Kawhi Leonard,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Anthony Davis,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Russell Westbrook,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,DeMarcus Cousins,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Klay Thompson,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Draymond Green,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Marc Gasol,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,DeAndre Jordan,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Gordon Hayward,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Kyrie Irving,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,DeMar DeRozan,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,LeBron James,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Giannis Antetokounmpo,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Jimmy Butler,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Isaiah Thomas,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,John Wall,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Kevin Love,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Kyle Lowry,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Paul George,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Kemba Walker,TRUE,,,,,,,,,,,,,,,,,,,,,,
2016,Paul Millsap,TRUE,,,,,,,,,,,,,,,,,,,,,,
2015,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Dwyane Wade,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Paul George,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Carmelo Anthony,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Kyle Lowry,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Jimmy Butler,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,DeMar DeRozan,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Paul Millsap,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Andre Drummond,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,John Wall,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Isaiah Thomas,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Pau Gasol,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Al Horford,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Kevin Durant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Kawhi Leonard,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Stephen Curry,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Russell Westbrook,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Draymond Green,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,James Harden,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Chris Paul,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Klay Thompson,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,Anthony Davis,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,DeMarcus Cousins,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2015,LaMarcus Aldridge,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,John Wall,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Kyle Lowry,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Pau Gasol,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Carmelo Anthony,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Al Horford,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Jeff Teague,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Paul Millsap,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Jimmy Butler,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Kyrie Irving,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Dwyane Wade,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Kyle Korver,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Stephen Curry,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Anthony Davis,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Marc Gasol,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Blake Griffin,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2014,James Harden,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Klay Thompson,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,LaMarcus Aldridge,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Russell Westbrook,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Kevin Durant,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Tim Duncan,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Chris Paul,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2014,DeMarcus Cousins,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Damian Lillard,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2014,Dirk Nowitzki,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2013,LaMarcus Aldridge,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Damian Lillard,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Chris Paul,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Tony Parker,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,James Harden,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Dwight Howard,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Dirk Nowitzki,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Kevin Durant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Stephen Curry,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Blake Griffin,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Kevin Love,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Anthony Davis,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2013,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Dwyane Wade,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Kyrie Irving,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Paul George,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Carmelo Anthony,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Roy Hibbert,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Paul Millsap,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,DeMar DeRozan,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,John Wall,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Joakim Noah,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Joe Johnson,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2013,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Kevin Durant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Dwight Howard,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Blake Griffin,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Chris Paul,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Tim Duncan,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Tony Parker,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Russell Westbrook,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,James Harden,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Zach Randolph,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,LaMarcus Aldridge,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,David Lee,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Dwyane Wade,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Rajon Rondo,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Carmelo Anthony,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Kevin Garnett,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Tyson Chandler,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Joakim Noah,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Paul George,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Luol Deng,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Jrue Holiday,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Kyrie Irving,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2012,Brook Lopez,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Derrick Rose,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Dwyane Wade,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Carmelo Anthony,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Dwight Howard,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Roy Hibbert,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Paul Pierce,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Deron Williams,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Luol Deng,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Andre Iguodala,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Joe Johnson,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Rajon Rondo,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Chris Paul,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Kevin Durant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Blake Griffin,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Andrew Bynum,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Kevin Love,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,LaMarcus Aldridge,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Russell Westbrook,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Dirk Nowitzki,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Tony Parker,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Steve Nash,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2011,Marc Gasol,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Carmelo Anthony,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Kevin Durant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Chris Paul,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Yao Ming,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Manu Ginobili,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Dirk Nowitzki,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Pau Gasol,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Deron Williams,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Russell Westbrook,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Blake Griffin,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Tim Duncan,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Kevin Love,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Dwyane Wade,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Amar'e Stoudemire,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Dwight Howard,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Derrick Rose,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Kevin Garnett,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Paul Pierce,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Rajon Rondo,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Ray Allen,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Al Horford,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Joe Johnson,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2010,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Deron Williams,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Chris Paul,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Pau Gasol,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Kevin Durant,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Dirk Nowitzki,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Zach Randolph,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Brandon Roy,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Steve Nash,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Amar'e Stoudemire,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Tim Duncan,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Carmelo Anthony,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Chauncey Billups,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Chris Kaman,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Jason Kidd,Western All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2009,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Kevin Garnett,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Allen Iverson,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Dwyane Wade,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Dwight Howard,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Rajon Rondo,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Derrick Rose,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Paul Pierce,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Gerald Wallace,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Joe Johnson,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,Al Horford,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2009,David Lee,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Chauncey Billups,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Pau Gasol,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Dirk Nowitzki,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Shaquille O'Neal,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Tony Parker,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Brandon Roy,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,David West,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Tim Duncan,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Chris Paul,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Yao Ming,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Amar'e Stoudemire,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Kevin Garnett,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Dwight Howard,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Allen Iverson,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,LeBron James,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Dwyane Wade,Eastern All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Chris Bosh,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Danny Granger,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Devin Harris,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Joe Johnson,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Rashard Lewis,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Jameer Nelson,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Paul Pierce,Eastern All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Ray Allen,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2008,Mo Williams,Eastern All-Star Replacement Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Carlos Boozer,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Steve Nash,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Dirk Nowitzki,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Chris Paul,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Brandon Roy,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Amar'e Stoudemire,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2007,David West,Western All-Star Coaches Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Allen Iverson,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Kobe Bryant,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Carmelo Anthony,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
2007,Tim Duncan,Western All-Star Fan Vote Selection,,,,,,,,,,,,,,,,,,,,,,
