player_name,player_id,MPG
Quincy Acy,acyqu01,14.8
Jordan Adams,adamsjo01,7.5
Steven Adams,adamsst01,25.2
Arron Afflalo,afflaar01,33.4
Alexis Ajinça,ajincal01,14.6
Cole Aldrich,aldrico01,13.3
LaMarcus Aldridge,aldrila01,30.6
Cliff Alexander,alexacl01,4.5
Lavoy Allen,allenla01,20.2
Tony Allen,allento01,25.3
Al-Farouq Aminu,aminual01,28.5
Lou Amundson,amundlo01,7
Chris Andersen,anderch01,14.9
Chris Andersen,anderch01,5.1
Chris Andersen,anderch01,18.3
Alan Anderson,anderal01,14.8
James Anderson,anderja01,14.1
Justin Anderson,anderju01,11.8
Kyle Anderson,anderky01,16
Ryan Anderson,anderry01,30.4
Giannis Antetokounmpo,antetgi01,35.3
Thanasis Antetokounmpo,antetth01,3
Carmelo Anthony,anthoca01,35.1
Joel Anthony,anthojo01,5.1
Keith Appling,applike01,5.4
Trevor Ariza,arizatr01,35.3
Darrell Arthur,arthuda01,21.7
Ömer Aşık,asikom01,17.3
D.J. Augustin,augusdj01,19
D.J. Augustin,augusdj01,15.3
D.J. Augustin,augusdj01,23.5
Jeff Ayres,pendeje02,6.3
Luke Babbitt,babbilu01,18
Cameron Bairstow,bairsca01,5.7
Leandro Barbosa,barbole01,15.9
J.J. Barea,bareajo01,22.5
Andrea Bargnani,bargnan01,13.8
Harrison Barnes,barneha02,30.9
Matt Barnes,barnema02,28.8
Will Barton,bartowi01,28.7
Brandon Bass,bassbr01,20.3
Nicolas Batum,batumni01,35
Jerryd Bayless,bayleje01,28.9
Aron Baynes,baynear01,15.2
Kent Bazemore,bazemke01,27.8
Bradley Beal,bealbr01,31.1
Michael Beasley,beaslmi01,18.2
Marco Belinelli,belinma01,24.6
Anthony Bennett,bennean01,4.4
Patrick Beverley,beverpa01,28.7
Bismack Biyombo,biyombi01,22
Nemanja Bjelica,bjeline01,17.9
Tarik Black,blackta01,12.7
DeJuan Blair,blairde01,7.5
Steve Blake,blakest01,17
Eric Bledsoe,bledser01,34.2
Bojan Bogdanović,bogdabo02,26.8
Andrew Bogut,bogutan01,20.7
Matt Bonner,bonnema01,6.9
Devin Booker,bookede01,27.7
Trevor Booker,booketr01,20.7
Chris Bosh*,boshch01,33.5
Avery Bradley,bradlav01,33.4
Elton Brand,brandel01,13.2
Corey Brewer,breweco01,20.4
Aaron Brooks,brookaa01,16.1
Anthony Brown,brownan02,20.7
Lorenzo Brown,brownlo01,7.6
Markel Brown,brownma02,15.8
Kobe Bryant*,bryanko01,28.2
Chase Budinger,budinch01,14.1
Chase Budinger,budinch01,14.9
Chase Budinger,budinch01,11.8
Reggie Bullock,bullore01,11.6
Trey Burke,burketr01,21.3
Alec Burks,burksal01,25.7
